piece_id,old_outer_path,new_outer_path
right_ftorso,"[[0.0, 26.082000000000004], [0.0, 17.609000000000005], [0.0, 17.609000000000005], [12.758, 16.448000000000004], [12.758, 16.448000000000004], [0.0, 15.287], [0.0, 15.287], [0.0, 1.1610000000000011], [0.0, 1.1610000000000011], [14.233999999999998, 2.246614553035822e-16], [14.233999999999998, 2.246614553035822e-16], [16.069, 13.079], [16.069, 13.079], [17.903, 0.0], [17.903, 0.0], [22.58, 1.6209999999999998], [22.58, 1.6209999999999998], [24.422, 6.121999999999999], [28.201999999999998, 8.289], [33.781, 8.970999999999998], [41.022, 9.013999999999998], [41.022, 9.013999999999998], [43.506, 15.264], [43.506, 15.264], [39.009, 15.737999999999998], [35.094, 18.001], [32.437, 21.659], [31.498, 26.082], [31.498, 26.082], [0.0, 26.082000000000004]]","[[26.05, 43.561], [17.6, 43.561], [17.6, 43.561], [16.45, 30.772000000000002], [16.45, 30.772000000000002], [15.3, 43.561], [15.3, 43.561], [1.1500000000000001, 43.561], [1.1500000000000001, 43.561], [0.0, 29.294], [0.0, 29.294], [13.07, 27.444], [13.07, 27.444], [0.0, 25.594], [0.0, 25.594], [1.59, 20.98], [1.59, 20.98], [6.094, 19.127], [8.257, 15.338000000000001], [8.929, 9.75], [8.959, 2.5], [8.959, 2.5], [15.24, 0.0], [15.24, 0.0], [15.71, 4.497], [17.969, 8.415000000000001], [21.627, 11.074], [26.05, 12.014000000000001], [26.05, 12.014000000000001], [26.05, 43.561]]"
left_ftorso,"[[0.0, 1.9286962439771667e-15], [31.497999999999998, 0.0], [31.497999999999998, 0.0], [32.437, 4.423], [35.094, 8.082], [39.009, 10.344], [43.506, 10.819], [43.506, 10.819], [41.022, 17.069], [41.022, 17.069], [33.781000000000006, 17.111], [28.202, 17.793], [24.422, 19.96], [22.58, 24.461000000000002], [22.58, 24.461000000000002], [17.903, 26.082], [17.903, 26.082], [16.069, 13.003000000000002], [16.069, 13.003000000000002], [14.233999999999998, 26.082000000000004], [14.233999999999998, 26.082000000000004], [0.0, 24.921000000000003], [0.0, 24.921000000000003], [0.0, 10.795000000000002], [0.0, 10.795000000000002], [12.758, 9.634000000000002], [12.758, 9.634000000000002], [0.0, 8.473000000000003], [0.0, 8.473000000000003], [0.0, 1.9286962439771667e-15]]","[[0.0, 43.561], [0.0, 12.014000000000001], [0.0, 12.014000000000001], [4.423, 11.074], [8.081, 8.415000000000001], [10.34, 4.497], [10.81, 0.0], [10.81, 0.0], [17.091, 2.5], [17.091, 2.5], [17.121, 9.75], [17.793, 15.338000000000001], [19.956, 19.127], [24.46, 20.98], [24.46, 20.98], [26.05, 25.594], [26.05, 25.594], [12.98, 27.444], [12.98, 27.444], [26.05, 29.294], [26.05, 29.294], [24.900000000000002, 43.561], [24.900000000000002, 43.561], [10.75, 43.561], [10.75, 43.561], [9.6, 30.772000000000002], [9.6, 30.772000000000002], [8.45, 43.561], [8.45, 43.561], [0.0, 43.561]]"
left_btorso,"[[0.0, 37.468], [0.0, 5.175], [0.0, 5.175], [3.074, 4.831], [5.996, 3.815], [8.621, 2.177], [10.819, 0.0], [10.819, 0.0], [17.228, 2.548], [17.228, 2.548], [17.006, 9.684000000000001], [17.473, 15.206], [19.471, 19.01], [23.838, 20.989], [23.838, 20.989], [23.838, 25.603], [23.838, 25.603], [23.126, 39.837], [23.126, 39.837], [21.078, 39.418], [19.027, 39.037], [16.973, 38.695], [14.917, 38.392], [14.917, 38.392], [15.283, 27.594], [15.283, 27.594], [13.15, 38.185], [13.15, 38.185], [12.015, 38.066], [10.881, 37.958], [9.746, 37.861000000000004], [8.61, 37.775], [8.61, 37.775], [8.487, 25.771], [8.487, 25.771], [6.8340000000000005, 37.661], [6.8340000000000005, 37.661], [5.128, 37.576], [3.42, 37.516], [1.71, 37.480000000000004], [0.0, 37.468]]","[[0.0, 37.488], [0.0, 13.381], [0.0, 13.381], [4.766, 12.301], [8.601, 9.273], [10.756, 4.8870000000000005], [10.81, 0.0], [10.81, 0.0], [17.25, 2.563], [17.25, 2.563], [17.019000000000002, 9.71], [17.481, 15.243], [19.477, 19.056], [23.85, 21.043], [23.85, 21.043], [23.85, 25.594], [23.85, 25.594], [23.133, 39.861000000000004], [23.133, 39.861000000000004], [21.084, 39.441], [19.032, 39.06], [16.977, 38.717], [14.92, 38.413000000000004], [14.92, 38.413000000000004], [15.284, 27.585], [15.284, 27.585], [13.141, 38.205], [13.141, 38.205], [12.009, 38.086], [10.876, 37.979], [9.743, 37.881], [8.609, 37.795], [8.609, 37.795], [8.482, 25.758], [8.482, 25.758], [6.821, 37.681], [6.821, 37.681], [5.118, 37.596000000000004], [3.4130000000000003, 37.536], [1.707, 37.5], [0.0, 37.488]]"
right_btorso,"[[0.0, 2.3689999999999998], [1.7100000000000009, 2.3569999999999993], [3.4200000000000017, 2.321000000000005], [5.128, 2.261000000000003], [6.834, 2.176000000000002], [6.834, 2.176000000000002], [8.487, 14.066000000000006], [8.487, 14.066000000000006], [8.61, 2.0620000000000047], [8.61, 2.0620000000000047], [9.745999999999999, 1.975999999999999], [10.880999999999998, 1.8790000000000049], [12.014999999999999, 1.7710000000000008], [13.149, 1.652000000000001], [13.149, 1.652000000000001], [15.283000000000001, 12.243000000000002], [15.283000000000001, 12.243000000000002], [14.917, 1.4450000000000003], [14.917, 1.4450000000000003], [16.973, 1.142000000000003], [19.027, 0.8000000000000043], [21.078, 0.41900000000000404], [23.126, 0.0], [23.126, 0.0], [23.838, 14.234000000000002], [23.838, 14.234000000000002], [23.838, 18.848000000000003], [23.838, 18.848000000000003], [19.471000000000004, 20.827], [17.473000000000003, 24.631000000000004], [17.006000000000004, 30.153000000000002], [17.228000000000005, 37.289], [17.228000000000005, 37.289], [10.819000000000004, 39.837], [10.819000000000004, 39.837], [8.621000000000004, 37.660000000000004], [5.996000000000006, 36.022000000000006], [3.074000000000005, 35.00600000000001], [3.552713678800501e-15, 34.662000000000006], [3.552713678800501e-15, 34.662000000000006], [0.0, 2.3689999999999998]]","[[23.85, 37.488], [22.143, 37.5], [20.437, 37.536], [18.732, 37.596000000000004], [17.029, 37.681], [17.029, 37.681], [15.368, 25.758], [15.368, 25.758], [15.241, 37.795], [15.241, 37.795], [14.107000000000001, 37.881], [12.974, 37.979], [11.841000000000001, 38.086], [10.709, 38.205], [10.709, 38.205], [8.566, 27.585], [8.566, 27.585], [8.93, 38.413000000000004], [8.93, 38.413000000000004], [6.873, 38.717], [4.8180000000000005, 39.06], [2.766, 39.441], [0.717, 39.861000000000004], [0.717, 39.861000000000004], [0.0, 25.594], [0.0, 25.594], [0.0, 21.043], [0.0, 21.043], [4.373, 19.056], [6.369, 15.243], [6.831, 9.71], [6.6000000000000005, 2.563], [6.6000000000000005, 2.563], [13.040000000000001, 0.0], [13.040000000000001, 0.0], [13.094, 4.8870000000000005], [15.249, 9.273], [19.084, 12.301], [23.85, 13.381], [23.85, 13.381], [23.85, 37.488]]"
left_btorso,"[[37.468, 23.837999999999997], [5.175000000000002, 23.838000000000005], [5.175000000000002, 23.838000000000005], [4.831000000000001, 20.764000000000003], [3.815000000000001, 17.842000000000002], [2.177, 15.217000000000004], [0.0, 13.019000000000004], [0.0, 13.019000000000004], [2.5479999999999987, 6.610000000000003], [2.5479999999999987, 6.610000000000003], [9.684, 6.832000000000001], [15.205999999999998, 6.365000000000002], [19.01, 4.367000000000001], [20.989, 0.0], [20.989, 0.0], [25.603, 0.0], [25.603, 0.0], [39.836999999999996, 0.7119999999999962], [39.836999999999996, 0.7119999999999962], [39.41799999999999, 2.759999999999998], [39.037, 4.810999999999996], [38.695, 6.864999999999998], [38.392, 8.920999999999998], [38.392, 8.920999999999998], [27.594, 8.555], [27.594, 8.555], [38.185, 10.687999999999997], [38.185, 10.687999999999997], [38.066, 11.822999999999997], [37.958, 12.956999999999997], [37.861000000000004, 14.091999999999997], [37.775, 15.227999999999998], [37.775, 15.227999999999998], [25.771000000000004, 15.350999999999999], [25.771000000000004, 15.350999999999999], [37.661, 17.003999999999998], [37.661, 17.003999999999998], [37.576, 18.709999999999997], [37.516, 20.418], [37.480000000000004, 22.127999999999997], [37.468, 23.837999999999997]]","[[0.0, 37.488], [0.0, 5.189], [0.0, 5.189], [3.074, 4.844], [5.996, 3.825], [8.618, 2.183], [10.81, 0.0], [10.81, 0.0], [17.25, 2.563], [17.25, 2.563], [17.019000000000002, 9.71], [17.481, 15.243], [19.477, 19.056], [23.85, 21.043], [23.85, 21.043], [23.85, 25.594], [23.85, 25.594], [23.133, 39.861000000000004], [23.133, 39.861000000000004], [21.084, 39.441], [19.032, 39.06], [16.977, 38.717], [14.92, 38.413000000000004], [14.92, 38.413000000000004], [15.284, 27.585], [15.284, 27.585], [13.141, 38.205], [13.141, 38.205], [12.009, 38.086], [10.876, 37.979], [9.743, 37.881], [8.609, 37.795], [8.609, 37.795], [8.482, 25.758], [8.482, 25.758], [6.821, 37.681], [6.821, 37.681], [5.118, 37.596000000000004], [3.4130000000000003, 37.536], [1.707, 37.5], [0.0, 37.488]]"
right_ftorso,"[[0.0, 0.0], [8.472999999999999, 0.0], [8.472999999999999, 0.0], [9.634, 12.758000000000003], [9.634, 12.758000000000003], [10.794999999999998, 0.0], [10.794999999999998, 0.0], [24.921, 0.0], [24.921, 0.0], [26.082, 14.233999999999998], [26.082, 14.233999999999998], [13.003, 16.069], [13.003, 16.069], [26.082, 17.903], [26.082, 17.903], [24.461000000000002, 22.58], [24.461000000000002, 22.58], [19.96, 24.422], [17.793000000000003, 28.202], [17.111000000000004, 33.781000000000006], [17.068000000000005, 41.022], [17.068000000000005, 41.022], [10.818000000000003, 43.506], [10.818000000000003, 43.506], [10.344000000000005, 39.009], [8.081000000000003, 35.094], [4.423000000000005, 32.437], [3.552713678800501e-15, 31.498000000000005], [3.552713678800501e-15, 31.498000000000005], [0.0, 0.0]]","[[26.05, 43.561], [17.6, 43.561], [17.6, 43.561], [16.45, 30.772000000000002], [16.45, 30.772000000000002], [15.3, 43.561], [15.3, 43.561], [1.1500000000000001, 43.561], [1.1500000000000001, 43.561], [0.0, 29.294], [0.0, 29.294], [13.07, 27.444], [13.07, 27.444], [0.0, 25.594], [0.0, 25.594], [1.59, 20.98], [1.59, 20.98], [6.094, 19.127], [8.257, 15.338000000000001], [8.929, 9.75], [8.959, 2.5], [8.959, 2.5], [15.24, 0.0], [15.24, 0.0], [15.71, 4.497], [17.969, 8.415000000000001], [21.627, 11.074], [26.05, 12.014000000000001], [26.05, 12.014000000000001], [26.05, 43.561]]"
right_btorso,"[[37.467999999999996, 0.0], [37.48, 1.7100000000000009], [37.51599999999999, 3.4200000000000017], [37.576, 5.128], [37.661, 6.834], [37.661, 6.834], [25.771, 8.487000000000002], [25.771, 8.487000000000002], [37.775, 8.610000000000001], [37.775, 8.610000000000001], [37.861000000000004, 9.746], [37.958, 10.881], [38.066, 12.015], [38.185, 13.149000000000001], [38.185, 13.149000000000001], [27.594000000000005, 15.283000000000003], [27.594000000000005, 15.283000000000003], [38.392, 14.917000000000002], [38.392, 14.917000000000002], [38.695, 16.973], [39.037, 19.027], [39.418, 21.078], [39.837, 23.126], [39.837, 23.126], [25.603000000000005, 23.838000000000005], [25.603000000000005, 23.838000000000005], [20.989000000000004, 23.838000000000005], [20.989000000000004, 23.838000000000005], [19.010000000000005, 19.471000000000004], [15.206, 17.473000000000006], [9.684000000000001, 17.006000000000007], [2.548000000000001, 17.22800000000001], [2.548000000000001, 17.22800000000001], [0.0, 10.819000000000008], [0.0, 10.819000000000008], [2.1769999999999996, 8.621000000000008], [3.814999999999999, 5.996000000000009], [4.8309999999999995, 3.0740000000000087], [5.174999999999998, 7.105427357601002e-15], [5.174999999999998, 7.105427357601002e-15], [37.467999999999996, 0.0]]","[[23.85, 37.488], [22.143, 37.5], [20.437, 37.536], [18.732, 37.596000000000004], [17.029, 37.681], [17.029, 37.681], [15.368, 25.758], [15.368, 25.758], [15.241, 37.795], [15.241, 37.795], [14.107000000000001, 37.881], [12.974, 37.979], [11.841000000000001, 38.086], [10.709, 38.205], [10.709, 38.205], [8.566, 27.585], [8.566, 27.585], [8.93, 38.413000000000004], [8.93, 38.413000000000004], [6.873, 38.717], [4.8180000000000005, 39.06], [2.766, 39.441], [0.717, 39.861000000000004], [0.717, 39.861000000000004], [0.0, 25.594], [0.0, 25.594], [0.0, 21.043], [0.0, 21.043], [4.373, 19.056], [6.369, 15.243], [6.831, 9.71], [6.6000000000000005, 2.563], [6.6000000000000005, 2.563], [13.040000000000001, 0.0], [13.040000000000001, 0.0], [15.232000000000001, 2.183], [17.854, 3.825], [20.776, 4.844], [23.85, 5.189], [23.85, 5.189], [23.85, 37.488]]"
left_ftorso,"[[0.0, 43.506], [0.0, 12.008000000000001], [0.0, 12.008000000000001], [4.423, 11.069], [8.082, 8.412], [10.344, 4.497], [10.819, 0.0], [10.819, 0.0], [17.069, 2.484], [17.069, 2.484], [17.111, 9.725], [17.793, 15.304], [19.96, 19.084], [24.461000000000002, 20.926000000000002], [24.461000000000002, 20.926000000000002], [26.082, 25.603], [26.082, 25.603], [13.003, 27.437], [13.003, 27.437], [26.082, 29.272000000000002], [26.082, 29.272000000000002], [24.921, 43.506], [24.921, 43.506], [10.795, 43.506], [10.795, 43.506], [9.634, 30.748], [9.634, 30.748], [8.473, 43.506], [8.473, 43.506], [0.0, 43.506]]","[[0.0, 43.561], [0.0, 12.014000000000001], [0.0, 12.014000000000001], [4.423, 11.074], [8.081, 8.415000000000001], [10.34, 4.497], [10.81, 0.0], [10.81, 0.0], [17.091, 2.5], [17.091, 2.5], [17.121, 9.75], [17.793, 15.338000000000001], [19.956, 19.127], [24.46, 20.98], [24.46, 20.98], [26.05, 25.594], [26.05, 25.594], [12.98, 27.444], [12.98, 27.444], [26.05, 29.294], [26.05, 29.294], [24.900000000000002, 43.561], [24.900000000000002, 43.561], [10.75, 43.561], [10.75, 43.561], [9.6, 30.772000000000002], [9.6, 30.772000000000002], [8.45, 43.561], [8.45, 43.561], [0.0, 43.561]]"
left_btorso,"[[2.3689999999999998, 1.977375954243274e-15], [34.662000000000006, 0.0], [34.662000000000006, 0.0], [35.006, 3.074], [36.022000000000006, 5.996], [37.660000000000004, 8.621], [39.837, 10.819], [39.837, 10.819], [37.289, 17.228], [37.289, 17.228], [30.153000000000006, 17.006], [24.631000000000007, 17.473], [20.827, 19.471], [18.848000000000003, 23.838], [18.848000000000003, 23.838], [14.234000000000002, 23.838], [14.234000000000002, 23.838], [0.0, 23.126000000000005], [0.0, 23.126000000000005], [0.41900000000000404, 21.078000000000003], [0.8000000000000043, 19.027000000000005], [1.142000000000003, 16.973000000000003], [1.4450000000000003, 14.917000000000002], [1.4450000000000003, 14.917000000000002], [12.243000000000002, 15.283000000000001], [12.243000000000002, 15.283000000000001], [1.652000000000001, 13.150000000000002], [1.652000000000001, 13.150000000000002], [1.7710000000000008, 12.015000000000002], [1.8790000000000049, 10.881000000000002], [1.975999999999999, 9.746000000000002], [2.0620000000000047, 8.610000000000001], [2.0620000000000047, 8.610000000000001], [14.066000000000003, 8.487000000000002], [14.066000000000003, 8.487000000000002], [2.176000000000002, 6.834000000000003], [2.176000000000002, 6.834000000000003], [2.261000000000003, 5.128000000000003], [2.321000000000005, 3.4200000000000017], [2.3569999999999993, 1.710000000000002], [2.3689999999999998, 1.977375954243274e-15]]","[[0.0, 37.488], [0.0, 5.189], [0.0, 5.189], [3.074, 4.844], [5.996, 3.825], [8.618, 2.183], [10.81, 0.0], [10.81, 0.0], [17.25, 2.563], [17.25, 2.563], [17.019000000000002, 9.71], [17.481, 15.243], [19.477, 19.056], [23.85, 21.043], [23.85, 21.043], [23.85, 25.594], [23.85, 25.594], [23.133, 39.861000000000004], [23.133, 39.861000000000004], [21.084, 39.441], [19.032, 39.06], [16.977, 38.717], [14.92, 38.413000000000004], [14.92, 38.413000000000004], [15.284, 27.585], [15.284, 27.585], [13.141, 38.205], [13.141, 38.205], [12.009, 38.086], [10.876, 37.979], [9.743, 37.881], [8.609, 37.795], [8.609, 37.795], [8.482, 25.758], [8.482, 25.758], [6.821, 37.681], [6.821, 37.681], [5.118, 37.596000000000004], [3.4130000000000003, 37.536], [1.707, 37.5], [0.0, 37.488]]"
right_btorso,"[[0.0, 2.3689999999999998], [1.7100000000000009, 2.3569999999999993], [3.4200000000000017, 2.321000000000005], [5.128, 2.261000000000003], [6.834, 2.176000000000002], [6.834, 2.176000000000002], [8.487, 14.066000000000006], [8.487, 14.066000000000006], [8.61, 2.0620000000000047], [8.61, 2.0620000000000047], [9.745999999999999, 1.975999999999999], [10.880999999999998, 1.8790000000000049], [12.014999999999999, 1.7710000000000008], [13.149, 1.652000000000001], [13.149, 1.652000000000001], [15.283000000000001, 12.243000000000002], [15.283000000000001, 12.243000000000002], [14.917, 1.4450000000000003], [14.917, 1.4450000000000003], [16.973, 1.142000000000003], [19.027, 0.8000000000000043], [21.078, 0.41900000000000404], [23.126, 0.0], [23.126, 0.0], [23.838, 14.234000000000002], [23.838, 14.234000000000002], [23.838, 18.848000000000003], [23.838, 18.848000000000003], [19.471000000000004, 20.827], [17.473000000000003, 24.631000000000004], [17.006000000000004, 30.153000000000002], [17.228000000000005, 37.289], [17.228000000000005, 37.289], [10.819000000000004, 39.837], [10.819000000000004, 39.837], [8.621000000000004, 37.660000000000004], [5.996000000000006, 36.022000000000006], [3.074000000000005, 35.00600000000001], [3.552713678800501e-15, 34.662000000000006], [3.552713678800501e-15, 34.662000000000006], [0.0, 2.3689999999999998]]","[[23.85, 37.488], [22.143, 37.5], [20.437, 37.536], [18.732, 37.596000000000004], [17.029, 37.681], [17.029, 37.681], [15.368, 25.758], [15.368, 25.758], [15.241, 37.795], [15.241, 37.795], [14.107000000000001, 37.881], [12.974, 37.979], [11.841000000000001, 38.086], [10.709, 38.205], [10.709, 38.205], [8.566, 27.585], [8.566, 27.585], [8.93, 38.413000000000004], [8.93, 38.413000000000004], [6.873, 38.717], [4.8180000000000005, 39.06], [2.766, 39.441], [0.717, 39.861000000000004], [0.717, 39.861000000000004], [0.0, 25.594], [0.0, 25.594], [0.0, 21.043], [0.0, 21.043], [4.373, 19.056], [6.369, 15.243], [6.831, 9.71], [6.6000000000000005, 2.563], [6.6000000000000005, 2.563], [13.040000000000001, 0.0], [13.040000000000001, 0.0], [15.232000000000001, 2.183], [17.854, 3.825], [20.776, 4.844], [23.85, 5.189], [23.85, 5.189], [23.85, 37.488]]"
left_btorso,"[[2.3689999999999998, 1.977375954243274e-15], [34.662000000000006, 0.0], [34.662000000000006, 0.0], [35.006, 3.074], [36.022000000000006, 5.996], [37.660000000000004, 8.621], [39.837, 10.819], [39.837, 10.819], [37.289, 17.228], [37.289, 17.228], [30.153000000000006, 17.006], [24.631000000000007, 17.473], [20.827, 19.471], [18.848000000000003, 23.838], [18.848000000000003, 23.838], [14.234000000000002, 23.838], [14.234000000000002, 23.838], [0.0, 23.126000000000005], [0.0, 23.126000000000005], [0.41900000000000404, 21.078000000000003], [0.8000000000000043, 19.027000000000005], [1.142000000000003, 16.973000000000003], [1.4450000000000003, 14.917000000000002], [1.4450000000000003, 14.917000000000002], [12.243000000000002, 15.283000000000001], [12.243000000000002, 15.283000000000001], [1.652000000000001, 13.150000000000002], [1.652000000000001, 13.150000000000002], [1.7710000000000008, 12.015000000000002], [1.8790000000000049, 10.881000000000002], [1.975999999999999, 9.746000000000002], [2.0620000000000047, 8.610000000000001], [2.0620000000000047, 8.610000000000001], [14.066000000000003, 8.487000000000002], [14.066000000000003, 8.487000000000002], [2.176000000000002, 6.834000000000003], [2.176000000000002, 6.834000000000003], [2.261000000000003, 5.128000000000003], [2.321000000000005, 3.4200000000000017], [2.3569999999999993, 1.710000000000002], [2.3689999999999998, 1.977375954243274e-15]]","[[0.0, 37.488], [0.0, 5.189], [0.0, 5.189], [3.074, 4.844], [5.996, 3.825], [8.618, 2.183], [10.81, 0.0], [10.81, 0.0], [17.25, 2.563], [17.25, 2.563], [17.019000000000002, 9.71], [17.481, 15.243], [19.477, 19.056], [23.85, 21.043], [23.85, 21.043], [23.85, 25.594], [23.85, 25.594], [23.133, 39.861000000000004], [23.133, 39.861000000000004], [21.084, 39.441], [19.032, 39.06], [16.977, 38.717], [14.92, 38.413000000000004], [14.92, 38.413000000000004], [15.284, 27.585], [15.284, 27.585], [13.141, 38.205], [13.141, 38.205], [12.009, 38.086], [10.876, 37.979], [9.743, 37.881], [8.609, 37.795], [8.609, 37.795], [8.482, 25.758], [8.482, 25.758], [6.821, 37.681], [6.821, 37.681], [5.118, 37.596000000000004], [3.4130000000000003, 37.536], [1.707, 37.5], [0.0, 37.488]]"
right_btorso,"[[0.0, 2.3689999999999998], [1.7100000000000009, 2.3569999999999993], [3.4200000000000017, 2.321000000000005], [5.128, 2.261000000000003], [6.834, 2.176000000000002], [6.834, 2.176000000000002], [8.487, 14.066000000000006], [8.487, 14.066000000000006], [8.61, 2.0620000000000047], [8.61, 2.0620000000000047], [9.745999999999999, 1.975999999999999], [10.880999999999998, 1.8790000000000049], [12.014999999999999, 1.7710000000000008], [13.149, 1.652000000000001], [13.149, 1.652000000000001], [15.283000000000001, 12.243000000000002], [15.283000000000001, 12.243000000000002], [14.917, 1.4450000000000003], [14.917, 1.4450000000000003], [16.973, 1.142000000000003], [19.027, 0.8000000000000043], [21.078, 0.41900000000000404], [23.126, 0.0], [23.126, 0.0], [23.838, 14.234000000000002], [23.838, 14.234000000000002], [23.838, 18.848000000000003], [23.838, 18.848000000000003], [19.471000000000004, 20.827], [17.473000000000003, 24.631000000000004], [17.006000000000004, 30.153000000000002], [17.228000000000005, 37.289], [17.228000000000005, 37.289], [10.819000000000004, 39.837], [10.819000000000004, 39.837], [8.621000000000004, 37.660000000000004], [5.996000000000006, 36.022000000000006], [3.074000000000005, 35.00600000000001], [3.552713678800501e-15, 34.662000000000006], [3.552713678800501e-15, 34.662000000000006], [0.0, 2.3689999999999998]]","[[23.85, 37.488], [22.143, 37.5], [20.437, 37.536], [18.732, 37.596000000000004], [17.029, 37.681], [17.029, 37.681], [15.368, 25.758], [15.368, 25.758], [15.241, 37.795], [15.241, 37.795], [14.107000000000001, 37.881], [12.974, 37.979], [11.841000000000001, 38.086], [10.709, 38.205], [10.709, 38.205], [8.566, 27.585], [8.566, 27.585], [8.93, 38.413000000000004], [8.93, 38.413000000000004], [6.873, 38.717], [4.8180000000000005, 39.06], [2.766, 39.441], [0.717, 39.861000000000004], [0.717, 39.861000000000004], [0.0, 25.594], [0.0, 25.594], [0.0, 21.043], [0.0, 21.043], [4.373, 19.056], [6.369, 15.243], [6.831, 9.71], [6.6000000000000005, 2.563], [6.6000000000000005, 2.563], [13.040000000000001, 0.0], [13.040000000000001, 0.0], [15.232000000000001, 2.183], [17.854, 3.825], [20.776, 4.844], [23.85, 5.189], [23.85, 5.189], [23.85, 37.488]]"
left_ftorso,"[[0.0, 43.506], [0.0, 12.008000000000001], [0.0, 12.008000000000001], [4.423, 11.069], [8.082, 8.412], [10.344, 4.497], [10.819, 0.0], [10.819, 0.0], [17.069, 2.484], [17.069, 2.484], [17.111, 9.725], [17.793, 15.304], [19.96, 19.084], [24.461000000000002, 20.926000000000002], [24.461000000000002, 20.926000000000002], [26.082, 25.603], [26.082, 25.603], [13.003, 27.437], [13.003, 27.437], [26.082, 29.272000000000002], [26.082, 29.272000000000002], [24.921, 43.506], [24.921, 43.506], [10.795, 43.506], [10.795, 43.506], [9.634, 30.748], [9.634, 30.748], [8.473, 43.506], [8.473, 43.506], [0.0, 43.506]]","[[0.0, 43.561], [0.0, 12.014000000000001], [0.0, 12.014000000000001], [4.423, 11.074], [8.081, 8.415000000000001], [10.34, 4.497], [10.81, 0.0], [10.81, 0.0], [17.091, 2.5], [17.091, 2.5], [17.121, 9.75], [17.793, 15.338000000000001], [19.956, 19.127], [24.46, 20.98], [24.46, 20.98], [26.05, 25.594], [26.05, 25.594], [12.98, 27.444], [12.98, 27.444], [26.05, 29.294], [26.05, 29.294], [24.900000000000002, 43.561], [24.900000000000002, 43.561], [10.75, 43.561], [10.75, 43.561], [9.6, 30.772000000000002], [9.6, 30.772000000000002], [8.45, 43.561], [8.45, 43.561], [0.0, 43.561]]"
left_btorso,"[[2.3689999999999998, 1.977375954243274e-15], [34.662000000000006, 0.0], [34.662000000000006, 0.0], [35.006, 3.074], [36.022000000000006, 5.996], [37.660000000000004, 8.621], [39.837, 10.819], [39.837, 10.819], [37.289, 17.228], [37.289, 17.228], [30.153000000000006, 17.006], [24.631000000000007, 17.473], [20.827, 19.471], [18.848000000000003, 23.838], [18.848000000000003, 23.838], [14.234000000000002, 23.838], [14.234000000000002, 23.838], [0.0, 23.126000000000005], [0.0, 23.126000000000005], [0.41900000000000404, 21.078000000000003], [0.8000000000000043, 19.027000000000005], [1.142000000000003, 16.973000000000003], [1.4450000000000003, 14.917000000000002], [1.4450000000000003, 14.917000000000002], [12.243000000000002, 15.283000000000001], [12.243000000000002, 15.283000000000001], [1.652000000000001, 13.150000000000002], [1.652000000000001, 13.150000000000002], [1.7710000000000008, 12.015000000000002], [1.8790000000000049, 10.881000000000002], [1.975999999999999, 9.746000000000002], [2.0620000000000047, 8.610000000000001], [2.0620000000000047, 8.610000000000001], [14.066000000000003, 8.487000000000002], [14.066000000000003, 8.487000000000002], [2.176000000000002, 6.834000000000003], [2.176000000000002, 6.834000000000003], [2.261000000000003, 5.128000000000003], [2.321000000000005, 3.4200000000000017], [2.3569999999999993, 1.710000000000002], [2.3689999999999998, 1.977375954243274e-15]]","[[0.0, 37.488], [0.0, 5.189], [0.0, 5.189], [3.074, 4.844], [5.996, 3.825], [8.618, 2.183], [10.81, 0.0], [10.81, 0.0], [17.25, 2.563], [17.25, 2.563], [17.019000000000002, 9.71], [17.481, 15.243], [19.477, 19.056], [23.85, 21.043], [23.85, 21.043], [23.85, 25.594], [23.85, 25.594], [23.133, 39.861000000000004], [23.133, 39.861000000000004], [21.084, 39.441], [19.032, 39.06], [16.977, 38.717], [14.92, 38.413000000000004], [14.92, 38.413000000000004], [15.284, 27.585], [15.284, 27.585], [13.141, 38.205], [13.141, 38.205], [12.009, 38.086], [10.876, 37.979], [9.743, 37.881], [8.609, 37.795], [8.609, 37.795], [8.482, 25.758], [8.482, 25.758], [6.821, 37.681], [6.821, 37.681], [5.118, 37.596000000000004], [3.4130000000000003, 37.536], [1.707, 37.5], [0.0, 37.488]]"
